PLAYER,PTS,TREB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
"Donte DiVincenzo (MIL - PG,SG) OUT ",643,320,182,15,74,0.423,0.721,117,68,"1,773",92
"Daniel Theis (HOU - PF,C) ",637,418,106,64,41,0.552,0.708,42,73,"1,711",69
"Daniel Gafford (WAS - C,PF) ",636,291,42,127,40,0.698,0.645,0,71,"1,344",68
Cody Zeller (POR - C) ,628,510,99,36,42,0.56,0.714,13,69,"1,425",76
"Dwight Powell (DAL - PF,C) ",625,393,106,47,54,0.639,0.782,18,73,"1,729",65
"Robert Williams III (BOS - C,PF) ",621,518,136,127,62,0.689,0.631,1,69,"1,543",76
"Kendrick Nunn (LAL - PG,SG) ",616,213,114,15,42,0.477,0.885,86,66,"1,307",67
"LaMarcus Aldridge (BKN - PF,C) ",613,247,75,49,21,0.493,0.805,43,63,"1,183",51
"Jonathan Isaac (ORL - SF,PF) OUT ",604,319,73,99,72,0.446,0.774,54,56,"1,545",73
"Markieff Morris (MIA - PF,C) ",603,310,93,30,34,0.427,0.758,79,76,"1,600",78
Alperen Sengun (HOU - C) ,594,319,79,61,36,0.524,0.742,27,70,"1,368",95
"Nicolas Batum (LAC - SF,PF,SG) ",593,355,175,41,73,0.461,0.834,114,74,"2,015",65
"Khem Birch (TOR - PF,C) ",590,358,109,68,57,0.504,0.693,17,77,"1,880",59
Mitchell Robinson (NYK - C) ,589,531,38,126,68,0.696,0.545,0,72,"1,894",57
"Jeremy Lamb (IND - SG,SF) ",585,257,89,34,55,0.437,0.88,71,65,"1,252",39
"Larry Nance Jr. (POR - PF,C) ",585,382,165,33,84,0.501,0.667,74,70,"1,769",81
"Markelle Fultz (ORL - PG,SG) OUT ",584,150,237,13,48,0.434,0.798,23,52,"1,381",106
"Draymond Green (GSW - PF,C) ",571,492,579,64,119,0.444,0.781,49,75,"2,390",211
"Kevin Love (CLE - PF,C) ",569,419,108,10,24,0.432,0.849,94,51,"1,152",70
