RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
59,Gary Trent Jr.POR/TOR,SG,58,31.1,15.3,5.5,13.5,40.8,2.8,7.4,38.5,1.4,1.8,78.3,2.6,1.4,1,0.2,0.7,0,0,12.15
60,Michael Porter Jr.DEN,SF,61,31.3,19,7.3,13.4,54.2,2.8,6.3,44.5,1.7,2.2,79.1,7.3,1.1,0.7,0.9,1.3,15,0,20.63
61,Terrence RossORL,SG,46,29.3,15.6,5.5,13.4,41.2,1.9,5.7,33.7,2.6,3,87,3.4,2.3,1,0.5,1.6,0,0,13.25
62,Norman PowellPOR/TOR,SF,69,32,18.6,6.3,13.3,47.7,2.5,6,41.1,3.4,3.9,87.1,3.1,1.9,1.2,0.3,1.7,0,0,16.29
63,LaMelo BallCHA,PG,51,28.8,15.7,5.7,13.2,43.6,1.8,5.1,35.2,2.5,3.2,75.8,5.9,6.1,1.6,0.4,2.8,7,1,17.61
64,Kelly Oubre Jr.GS,SG,55,30.7,15.4,5.8,13.2,43.9,1.6,5.2,31.6,2.2,3.2,69.5,6,1.3,1,0.8,1.3,6,0,13.37
65,Coby WhiteCHI,PG,69,31.2,15.1,5.4,13.1,41.6,2.4,6.6,35.9,1.9,2.1,90.1,4.1,4.8,0.6,0.2,2.3,5,0,12.09
66,Tim Hardaway Jr.DAL,SF,70,28.4,16.6,5.8,13,44.7,3,7.6,39.1,2,2.5,81.6,3.3,1.8,0.4,0.2,0.9,0,0,15.73
67,Kyle LowryTOR,PG,46,34.8,17.2,5.7,13,43.6,2.8,7.2,39.6,3,3.5,87.5,5.4,7.3,1,0.3,2.7,9,2,16.49
68,Tyler HerroMIA,PG,54,30.3,15.1,5.7,12.9,43.9,2,5.5,36,1.7,2.2,80.3,5,3.4,0.6,0.3,1.9,5,0,13.42
69,Evan FournierBOS/ORL,SG,42,30,17.1,5.9,12.9,45.7,2.8,6.7,41.3,2.6,3.3,78.8,3,3.4,1.1,0.5,1.7,0,0,16.75
70,Bojan BogdanovicUTAH,SF,72,30.8,17,5.6,12.8,43.9,2.5,6.4,39,3.2,3.7,87.9,3.9,1.9,0.6,0.1,1.8,0,0,14.03
71,Bogdan BogdanovicATL,SG,44,29.7,16.4,6.1,12.8,47.3,3.3,7.6,43.8,0.9,1,90.9,3.6,3.3,1.1,0.3,1.2,0,0,17.63
72,Lonzo BallNO,PG,55,31.8,14.6,5.3,12.7,41.4,3.1,8.3,37.8,0.9,1.2,78.1,4.8,5.7,1.5,0.6,2.2,5,1,15.23
73,Derrick WhiteSA,PG,36,29.6,15.4,5.2,12.6,41.1,2.3,6.8,34.6,2.7,3.2,85.1,3,3.5,0.7,1,1.3,0,0,15.01
74,Chris PaulPHX,PG,70,31.4,16.4,6.3,12.6,49.9,1.5,3.7,39.5,2.4,2.6,93.4,4.5,8.9,1.4,0.3,2.2,25,1,21.42
75,Mike ConleyUTAH,PG,51,29.4,16.2,5.6,12.5,44.4,2.7,6.6,41.2,2.4,2.8,85.2,3.5,6,1.4,0.2,1.9,6,0,19.26
76,Darius BazleyOKC,PF,55,31.2,13.7,5,12.5,39.6,1.5,5.2,29,2.3,3.2,70.2,7.2,1.8,0.5,0.5,2.2,11,0,9.73
77,Bam AdebayoMIA,C,64,33.5,18.7,7.1,12.5,57,0,0.1,25,4.4,5.5,79.9,9,5.4,1.2,1,2.6,33,2,22.76
78,Dennis SchroderLAL,PG,61,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4,84.8,3.5,5.8,1.1,0.2,2.7,6,0,13.84
79,Luguentz DortOKC,SF,52,29.7,14,4.8,12.3,38.7,2.2,6.3,34.3,2.3,3.2,74.4,3.6,1.7,0.9,0.4,1.5,0,0,10.19
80,John CollinsATL,PF,63,29.3,17.6,6.8,12.2,55.6,1.3,3.3,39.9,2.7,3.2,83.3,7.4,1.2,0.5,1,1.3,16,0,20.67
81,Devonte' GrahamCHA,PG,55,30.2,14.8,4.6,12.2,37.7,3.3,8.7,37.5,2.4,2.9,84.2,2.7,5.4,0.9,0.1,1.5,3,0,14.68
82,OG AnunobyTOR,SF,43,33.3,15.9,5.8,12.1,48,2.4,6.1,39.8,1.9,2.4,78.4,5.5,2.2,1.5,0.7,1.7,3,0,15.44
83,Jonas ValanciunasMEM,C,62,28.3,17.1,7.1,12,59.2,0.3,0.9,36.8,2.5,3.3,77.3,12.5,1.8,0.6,0.9,1.6,49,0,24.47
84,Kendrick NunnMIA,G,56,29.5,14.6,5.7,11.8,48.5,2.2,5.7,38.1,1,1.1,93.3,3.2,2.6,0.9,0.3,1.4,0,0,14.24
85,Josh JacksonDET,SG,62,25.2,13.4,4.8,11.4,41.9,1.2,4.1,30,2.6,3.5,72.9,4.1,2.3,0.9,0.8,2.3,2,0,12.1
86,Rui HachimuraWSH,PF,57,31.5,13.8,5.4,11.4,47.8,0.8,2.4,32.8,2.2,2.8,77,5.5,1.4,0.8,0.1,1.2,3,0,11.45
87,Carmelo AnthonyPOR,PF,69,24.5,13.4,4.7,11.3,42.1,1.9,4.7,40.9,2,2.2,89,3.1,1.5,0.7,0.6,0.9,0,0,14.66
88,Kyle KuzmaLAL,SF,68,28.7,12.9,4.9,11.1,44.3,2,5.6,36.1,1,1.4,69.1,6.1,1.9,0.5,0.6,1.7,13,0,12.8
