,PLAYER,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
69,Evan Mobley,1213,644,187,136,61,0.5,0.681,36,74,2539,145,12.0,3.7
70,D'Angelo Russell,1206,238,500,24,72,0.42,0.807,186,69,2243,187,15.0,3.7
71,Spencer Dinwiddie,1206,291,417,16,53,0.429,0.773,136,71,2269,149,11.0,3.8
72,Jonas Valanciunas,1195,801,146,62,41,0.554,0.803,46,73,2130,148,12.7,3.9
73,Jordan Clarkson,1195,260,185,15,61,0.428,0.832,183,74,1962,108,14.1,2.2
74,Kyle Kuzma,1186,603,227,64,43,0.453,0.711,130,73,2432,164,14.2,3.3
75,Kelly Oubre Jr.,1170,331,90,34,80,0.435,0.68,187,74,2126,74,12.3,2.5
76,Christian Wood,1162,650,137,71,53,0.505,0.633,122,71,2076,125,12.9,4.9
77,Devin Vassell,1160,381,184,46,86,0.437,0.855,176,73,2384,79,10.8,1.4
78,Keegan Murray,1159,382,104,71,65,0.484,0.754,112,73,2257,100,10.75639810426539,2.6464454976303333
79,Lauri Markkanen,1155,449,94,33,52,0.449,0.859,174,69,2200,80,11.5,2.6
80,Jerami Grant,1154,293,158,71,65,0.44,0.833,120,71,2323,130,14.9,5.5
81,OG Anunoby,1151,382,187,38,102,0.449,0.755,165,68,2454,113,14.5,2.5
82,Tobias Harris,1150,480,241,44,48,0.485,0.853,109,75,2510,118,14.0,2.8
83,John Collins,1146,561,116,74,42,0.531,0.805,83,70,2136,85,10.75639810426539,2.6464454976303333
84,Harrison Barnes,1140,416,188,16,53,0.47,0.827,126,76,2473,110,10.8,5.4
85,Alperen Sengun,1140,586,278,94,83,0.476,0.738,54,77,2364,226,7.3,3.2
86,Mikal Bridges,1139,344,175,36,91,0.516,0.838,121,79,2749,72,10.5,1.9
87,Jaden Ivey,1124,306,276,32,74,0.436,0.771,127,74,2269,167,10.75639810426539,2.6464454976303333
88,Luguentz Dort,1116,272,118,27,60,0.411,0.833,164,67,2180,136,14.2,3.7
89,Malik Beasley,1093,256,132,16,47,0.42,0.824,218,71,2105,68,10.8,0.8
90,Michael Porter Jr.,1090,452,95,47,54,0.488,0.778,147,63,2008,86,10.75639810426539,2.6464454976303333
91,Jarrett Allen,1083,762,112,99,52,0.644,0.71,0,72,2302,121,10.75639810426539,2.6464454976303333
92,Norman Powell,1082,197,126,23,60,0.462,0.823,148,69,1943,96,13.4,5.2
93,Jabari Smith Jr.,1082,373,120,77,67,0.435,0.778,124,73,2194,114,10.75639810426539,2.6464454976303333
94,Rudy Gobert,1071,952,81,145,49,0.68,0.658,0,74,2331,129,7.7,6.7
95,Aaron Gordon,1060,434,193,43,46,0.49,0.722,91,74,2289,132,11.1,3.1
96,Caris LeVert,1058,240,246,26,62,0.439,0.757,95,69,2034,130,14.7,3.3
97,Gordon Hayward,1057,299,229,25,60,0.459,0.842,120,62,1955,108,12.6,3.0
98,Dennis Schroder,1042,239,341,15,72,0.431,0.809,121,68,2063,176,11.3,2.9
99,Chris Duarte,1038,305,153,15,78,0.439,0.819,132,72,2171,123,11.3,2.0
100,Cole Anthony,1026,342,351,21,54,0.393,0.85,129,70,2032,185,14.0,3.9
101,Tim Hardaway Jr.,1025,238,143,8,56,0.419,0.772,172,68,1937,62,12.6,2.5
102,Bobby Portis Jr.,1020,636,86,46,55,0.484,0.708,126,74,1930,86,10.75639810426539,2.6464454976303333
103,Bennedict Mathurin,1019,288,128,19,60,0.424,0.792,138,73,2156,118,10.75639810426539,2.6464454976303333
104,Wendell Carter Jr.,1012,687,158,54,43,0.52,0.708,62,71,2083,118,11.0,3.3
105,Jalen Smith,1007,512,52,83,31,0.505,0.771,92,72,2040,86,10.75639810426539,2.6464454976303333
106,Bogdan Bogdanovic,1005,270,199,15,72,0.432,0.837,181,66,1951,83,12.6,1.8
107,Reggie Jackson,1001,252,290,14,50,0.417,0.838,132,74,1976,137,16.3,2.2
108,De'Andre Hunter,999,263,96,27,53,0.443,0.771,109,69,2211,97,10.75639810426539,2.6464454976303333
109,Josh Giddey,992,501,508,26,71,0.426,0.739,95,69,2312,190,10.75639810426539,2.6464454976303333
110,Chris Paul,986,281,647,19,108,0.492,0.848,73,67,2116,150,11.3,3.1
111,Jakob Poeltl,983,678,198,127,50,0.617,0.496,2,70,2067,109,9.8,2.8
112,Malcolm Brogdon,980,273,338,16,45,0.446,0.862,88,63,1820,128,10.75639810426539,2.6464454976303333
113,Jusuf Nurkic,951,717,192,52,75,0.515,0.681,21,67,1911,169,10.75639810426539,2.6464454976303333
114,Will Barton,944,306,247,24,54,0.432,0.796,136,72,2109,122,12.6,1.8
115,Kentavious Caldwell-Pope,944,241,141,22,79,0.437,0.888,148,77,2256,90,10.8,2.0
116,Ben Simmons,929,505,457,38,111,0.548,0.647,11,65,2132,199,10.75639810426539,2.6464454976303333
117,Monte Morris,929,213,428,14,60,0.475,0.856,120,74,2224,84,10.3,1.1
118,Bones Hyland,928,227,260,27,54,0.419,0.856,175,73,1744,113,8.3,1.8
119,Seth Curry,925,192,210,13,50,0.483,0.866,161,70,2009,105,11.5,1.5
120,Immanuel Quickley,919,242,270,5,55,0.407,0.881,136,76,1786,107,9.3,2.6
121,Kevin Huerter,918,256,215,28,61,0.443,0.811,167,74,2227,92,10.3,0.7
122,Myles Turner,916,502,69,194,49,0.496,0.758,105,68,2056,144,10.75639810426539,2.6464454976303333
123,Malik Monk,913,239,193,23,56,0.457,0.769,153,75,1864,117,10.9,1.5
124,Marcus Smart,911,271,377,20,116,0.418,0.8,132,71,2234,154,10.1,2.5
125,Mike Conley,910,220,356,15,82,0.43,0.814,148,65,1829,119,11.0,2.3
126,P.J. Washington,904,446,184,78,75,0.459,0.723,132,72,2208,123,8.2,1.2
127,Victor Oladipo,889,218,232,13,51,0.431,0.744,122,63,1607,142,10.75639810426539,2.6464454976303333
128,Cameron Johnson,889,289,107,17,62,0.452,0.82,181,70,1886,53,9.2,1.7
129,Evan Fournier,888,194,147,19,63,0.415,0.721,182,72,1779,97,12.1,1.4
130,Jae'Sean Tate,884,407,205,39,75,0.486,0.715,68,77,2014,131,9.3,2.4
131,Jalen Suggs,882,244,310,29,89,0.419,0.772,80,60,1869,164,10.75639810426539,2.6464454976303333
132,Rui Hachimura,881,299,91,12,44,0.471,0.743,73,72,1891,72,10.75639810426539,2.6464454976303333
133,Josh Hart,867,409,220,18,72,0.468,0.778,93,69,2095,130,10.75639810426539,2.6464454976303333
134,Dorian Finney-Smith,866,364,141,37,80,0.47,0.717,170,77,2497,73,8.7,1.0
135,Jonathan Kuminga,861,327,84,30,39,0.498,0.694,68,71,1638,100,6.6,2.7
136,Kyle Lowry,860,292,433,17,65,0.437,0.856,143,62,2037,160,10.0,2.8
137,Brandon Clarke,857,452,104,83,53,0.608,0.668,14,70,1770,52,7.0,2.0
138,Tre Jones,851,245,469,12,76,0.477,0.798,42,72,2160,96,4.9,1.3
139,Doug McDermott,849,199,94,8,22,0.47,0.793,148,68,1756,81,9.1,1.0
140,Markelle Fultz,847,204,353,16,76,0.466,0.802,29,65,1838,156,10.75639810426539,2.6464454976303333
141,Kevin Love,846,522,141,15,29,0.417,0.831,151,66,1535,97,10.3,2.7
142,Marvin Bagley III,844,460,67,30,33,0.504,0.669,51,63,1624,80,10.75639810426539,2.6464454976303333
143,Kelly Olynyk,843,420,252,43,78,0.474,0.774,85,70,1805,138,10.75639810426539,2.6464454976303333
144,Darius Bazley,841,467,104,63,57,0.421,0.693,90,72,2060,108,9.4,2.5
145,Montrezl Harrell,835,414,97,47,32,0.59,0.736,23,75,1544,71,7.8,4.2
146,Davion Mitchell,834,196,325,22,74,0.412,0.705,97,76,2097,135,11.2,1.1
147,Lonnie Walker IV,824,187,131,20,44,0.431,0.784,112,72,1654,76,10.9,2.1
148,Derrick White,823,228,270,49,57,0.427,0.857,103,73,1907,104,10.7,3.1
149,Max Strus,823,221,105,15,32,0.437,0.794,213,74,1842,67,8.3,0.8
150,T.J. Warren,821,192,68,18,47,0.517,0.809,56,62,1419,51,10.75639810426539,2.6464454976303333
151,Ivica Zubac,821,681,118,85,39,0.638,0.748,0,76,2000,120,6.5,3.0
152,Kendrick Nunn,806,146,153,16,54,0.463,0.876,121,65,1658,72,10.75639810426539,2.6464454976303333
153,Marcus Morris Sr.,801,297,93,21,38,0.437,0.807,116,66,1709,89,12.8,2.7
154,Brook Lopez,794,306,53,94,41,0.477,0.866,91,67,1693,66,10.75639810426539,2.6464454976303333
155,Grayson Allen,791,241,107,20,49,0.444,0.866,165,70,1880,50,8.6,1.1
156,Jaden McDaniels,789,329,92,73,57,0.459,0.787,101,72,2106,84,7.9,1.0
157,John Wall,782,125,336,26,61,0.407,0.737,78,58,1564,184,10.75639810426539,2.6464454976303333
158,Clint Capela,782,797,76,93,48,0.609,0.506,0,70,1889,51,8.2,2.3
159,Joe Harris,770,226,100,13,38,0.474,0.789,163,66,1816,64,10.75639810426539,2.6464454976303333
160,Chris Boucher,762,550,38,83,38,0.48,0.782,62,71,1523,42,7.2,2.4
161,Jeff Green,749,249,97,26,31,0.498,0.823,74,76,1799,68,7.1,2.6
162,Precious Achiuwa,744,504,81,53,44,0.461,0.583,67,76,1854,92,8.3,1.8
163,De'Anthony Melton,743,289,187,37,93,0.409,0.779,127,72,1670,137,9.5,1.6
164,JaVale McGee,743,551,55,96,29,0.592,0.7,1,74,1393,114,6.2,2.0
165,Herbert Jones,743,293,157,52,130,0.471,0.851,67,76,2331,102,7.4,2.1
166,Duncan Robinson,736,159,96,12,33,0.41,0.841,205,74,1851,58,9.2,0.8
167,Eric Gordon,732,134,154,17,35,0.443,0.784,120,64,1600,80,9.9,2.4
168,Isaiah Jackson,732,392,37,119,54,0.544,0.671,12,70,1567,103,10.75639810426539,2.6464454976303333
