PLAYER,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
Chris Paul (PHO - PG) DTD ,986,281,647,19,108,0.4920,0.8480,73,67,2116,150
Jakob Poeltl (SAS - C) ,983,678,198,127,50,0.6170,0.4960,2,70,2067,109
"Malcolm Brogdon (BOS - PG,SG) ",980,273,338,16,45,0.4460,0.8620,88,63,1820,128
Jusuf Nurkic (POR - C) ,951,717,192,52,75,0.5150,0.6810,21,67,1911,169
"Will Barton (WAS - SG,SF) ",944,306,247,24,54,0.4320,0.7960,136,72,2109,122
"Kentavious Caldwell-Pope (DEN - PG,SG,SF) ",944,241,141,22,79,0.4370,0.8880,148,77,2256,90
Ben Simmons (BKN - PG) ,929,505,457,38,111,0.5480,0.6470,11,65,2132,199
"Monte Morris (WAS - PG,SG) ",929,213,428,14,60,0.4750,0.8560,120,74,2224,84
"Bones Hyland (DEN - PG,SG) ",928,227,260,27,54,0.4190,0.8560,175,73,1744,113
"Seth Curry (BKN - PG,SG) DTD ",925,192,210,13,50,0.4830,0.8660,161,70,2009,105
Immanuel Quickley (NYK - PG) ,919,242,270,5,55,0.4070,0.8810,136,76,1786,107
"Kevin Huerter (SAC - SG,SF) ",918,256,215,28,61,0.4430,0.8110,167,74,2227,92
"Myles Turner (IND - PF,C) ",916,502,69,194,49,0.4960,0.7580,105,68,2056,144
"Malik Monk (SAC - PG,SG) ",913,239,193,23,56,0.4570,0.7690,153,75,1864,117
"Marcus Smart (BOS - PG,SG) DTD ",911,271,377,20,116,0.4180,0.8000,132,71,2234,154
Mike Conley (UTH - PG) ,910,220,356,15,82,0.4300,0.8140,148,65,1829,119
"P.J. Washington (CHA - PF,C) ",904,446,184,78,75,0.4590,0.7230,132,72,2208,123
"Victor Oladipo (MIA - SG,SF) ",889,218,232,13,51,0.4310,0.7440,122,63,1607,142
"Cameron Johnson (PHO - SF,PF) ",889,289,107,17,62,0.4520,0.8200,181,70,1886,53
"Evan Fournier (NYK - SG,SF) ",888,194,147,19,63,0.4150,0.7210,182,72,1779,97
"Jae'Sean Tate (HOU - SF,PF) DTD ",884,407,205,39,75,0.4860,0.7150,68,77,2014,131
"Jalen Suggs (ORL - PG,SG) DTD ",882,244,310,29,89,0.4190,0.7720,80,60,1869,164
"Rui Hachimura (WAS - SF,PF) ",881,299,91,12,44,0.4710,0.7430,73,72,1891,72
"Josh Hart (POR - SG,SF) DTD ",867,409,220,18,72,0.4680,0.7780,93,69,2095,130
"Dorian Finney-Smith (DAL - SF,PF) ",866,364,141,37,80,0.4700,0.7170,170,77,2497,73
"Jonathan Kuminga (GSW - SF,PF) ",861,327,84,30,39,0.4980,0.6940,68,71,1638,100
Kyle Lowry (MIA - PG) DTD ,860,292,433,17,65,0.4370,0.8560,143,62,2037,160
"Brandon Clarke (MEM - SF,PF,C) ",857,452,104,83,53,0.6080,0.6680,14,70,1770,52
Tre Jones (SAS - PG) DTD ,851,245,469,12,76,0.4770,0.7980,42,72,2160,96
"Doug McDermott (SAS - SF,PF) DTD ",849,199,94,8,22,0.4700,0.7930,148,68,1756,81
"Markelle Fultz (ORL - PG,SG) DTD ",847,204,353,16,76,0.4660,0.8020,29,65,1838,156
"Kevin Love (CLE - PF,C) ",846,522,141,15,29,0.4170,0.8310,151,66,1535,97
"Marvin Bagley III (DET - PF,C) ",844,460,67,30,33,0.5040,0.6690,51,63,1624,80
"Kelly Olynyk (DET - PF,C) ",843,420,252,43,78,0.4740,0.7740,85,70,1805,138
"Darius Bazley (OKC - SF,PF) OUT ",841,467,104,63,57,0.4210,0.6930,90,72,2060,108
"Montrezl Harrell (PHI - PF,C) ",835,414,97,47,32,0.5900,0.7360,23,75,1544,71
"Davion Mitchell (SAC - SG,PG) OUT ",834,196,325,22,74,0.4120,0.7050,97,76,2097,135
"Lonnie Walker IV (LAL - SG,SF) ",824,187,131,20,44,0.4310,0.7840,112,72,1654,76
"Derrick White (BOS - PG,SG) ",823,228,270,49,57,0.4270,0.8570,103,73,1907,104
"Max Strus (MIA - SG,SF) DTD ",823,221,105,15,32,0.4370,0.7940,213,74,1842,67
"T.J. Warren (BKN - SF,PF) ",821,192,68,18,47,0.5170,0.8090,56,62,1419,51
Ivica Zubac (LAC - C) DTD ,821,681,118,85,39,0.6380,0.7480,0,76,2000,120
"Kendrick Nunn (LAL - PG,SG) ",806,146,153,16,54,0.4630,0.8760,121,65,1658,72
"Marcus Morris Sr. (LAC - PF,C,SF) ",801,297,93,21,38,0.4370,0.8070,116,66,1709,89
Brook Lopez (MIL - C) ,794,306,53,94,41,0.4770,0.8660,91,67,1693,66
"Grayson Allen (MIL - SG,SF) DTD ",791,241,107,20,49,0.4440,0.8660,165,70,1880,50
"Jaden McDaniels (MIN - PF,SF) ",789,329,92,73,57,0.4590,0.7870,101,72,2106,84
John Wall (LAC - PG) ,782,125,336,26,61,0.4070,0.7370,78,58,1564,184
Clint Capela (ATL - C) DTD ,782,797,76,93,48,0.6090,0.5060,0,70,1889,51
"Joe Harris (BKN - SG,SF) ",770,226,100,13,38,0.4740,0.7890,163,66,1816,64
"Chris Boucher (TOR - PF,C) ",762,550,38,83,38,0.4800,0.7820,62,71,1523,42
"Jeff Green (DEN - SF,PF) DTD ",749,249,97,26,31,0.4980,0.8230,74,76,1799,68
"Precious Achiuwa (TOR - SF,PF,C) ",744,504,81,53,44,0.4610,0.5830,67,76,1854,92
"De'Anthony Melton (PHI - PG,SG) ",743,289,187,37,93,0.4090,0.7790,127,72,1670,137
JaVale McGee (DAL - C) ,743,551,55,96,29,0.5920,0.7000,1,74,1393,114
Herbert Jones (NOR - SF) ,743,293,157,52,130,0.4710,0.8510,67,76,2331,102
"Duncan Robinson (MIA - SG,SF) DTD ",736,159,96,12,33,0.4100,0.8410,205,74,1851,58
"Eric Gordon (HOU - SG,SF) DTD ",732,134,154,17,35,0.4430,0.7840,120,64,1600,80
Isaiah Jackson (IND - PF) ,732,392,37,119,54,0.5440,0.6710,12,70,1567,103
"Ayo Dosunmu (CHI - PG,SG) ",729,233,272,31,76,0.4900,0.7090,77,77,2097,101
"Obi Toppin (NYK - SF,PF) DTD ",726,344,88,41,32,0.5220,0.7280,62,73,1469,70
"Cameron Payne (PHO - PG,SG) ",724,210,328,18,49,0.4200,0.8180,86,67,1493,114
Thomas Bryant (LAL - C) ,722,338,74,67,21,0.5640,0.8000,39,69,1469,65
"Deni Avdija (WAS - SG,SF,PF) ",721,416,161,44,59,0.4350,0.7610,86,77,1933,92
"Patrick Williams (CHI - SF,PF) ",715,303,83,44,62,0.4900,0.7350,77,69,1993,76
Josh Christopher (HOU - SG) ,714,209,191,14,77,0.4330,0.7460,79,74,1597,111
"Coby White (CHI - PG,SG) ",712,172,168,11,30,0.4310,0.8820,129,68,1552,80
"Talen Horton-Tucker (UTH - SG,SF) ",711,228,198,32,74,0.4240,0.8010,64,69,1800,95
"Luke Kennard (LAC - SG,SF) DTD ",711,228,134,7,41,0.4460,0.8630,154,71,1658,64
"Nic Claxton (BKN - C,PF) DTD ",709,508,81,101,47,0.6520,0.5890,1,68,1838,74
Joshua Primo (SAS - SG) DTD ,704,206,192,46,35,0.4020,0.7610,91,71,1852,135
"Reggie Bullock (DAL - SG,SF) ",704,247,95,15,47,0.4220,0.8530,170,72,2095,65
Jalen Williams (OKC - SG) ,703,131,160,21,61,0.4450,0.7600,73,71,1625,96
"Ziaire Williams (MEM - SF,SG) DTD ",702,160,82,14,54,0.4560,0.7960,114,72,1732,66
Quentin Grimes (NYK - SG) ,701,188,100,21,64,0.4250,0.7170,155,70,1762,83
"Devonte' Graham (NOR - PG,SG) ",692,182,256,8,51,0.3810,0.8430,147,70,1624,95
"Alec Burks (DET - SG,SF) ",688,304,153,17,49,0.4340,0.8320,107,71,1528,67
"Isaiah Stewart (DET - PF,C) ",684,602,82,87,27,0.5110,0.7210,41,72,1885,91
Tari Eason (HOU - SF) ,684,296,71,63,79,0.4650,0.7470,57,73,1730,98
"Jaren Jackson Jr. (MEM - PF,C) OUT ",681,296,54,89,38,0.4210,0.8190,71,43,1151,73
"Justin Holiday (ATL - SG,SF) ",681,208,108,33,60,0.3950,0.8040,157,74,1837,60
"Pat Connaughton (MIL - SG,SF) DTD ",676,300,94,18,60,0.4440,0.8210,153,72,1833,40
"Bruce Brown Jr. (BKN - SG,SF) ",671,355,155,49,77,0.4980,0.7530,43,73,1811,67
"Daniel Gafford (WAS - C,PF) ",670,426,65,96,33,0.6750,0.6940,1,71,1439,70
"Aleksej Pokusevski (OKC - SF,PF) ",668,427,175,55,52,0.4140,0.7310,83,69,1716,101
"Terance Mann (LAC - SF,SG) ",667,288,151,18,42,0.4770,0.7870,68,77,1777,62
"Jae Crowder (PHO - SF,PF) DTD ",663,333,122,28,90,0.4040,0.7850,134,69,1869,59
Caleb Martin (MIA - G) DTD ,663,292,89,36,73,0.4750,0.7480,87,71,1771,61
James Bouknight (CHA - SG) ,663,178,109,6,33,0.3970,0.8430,75,72,1345,67
"Trey Murphy III (NOR - SG,SF) ",660,165,50,11,36,0.4290,0.8670,126,73,1548,21
"Onyeka Okongwu (ATL - PF,C) ",654,461,82,97,47,0.6610,0.7340,0,70,1594,71
Kemba Walker (FA - PG) FA ,650,144,172,12,37,0.4140,0.8730,104,41,1177,70
"Jeremiah Robinson-Earl (OKC - SF,PF) ",649,424,85,27,49,0.4340,0.7730,96,71,1846,66
"Josh Richardson (SAS - SG,SF) DTD ",640,192,122,24,53,0.4300,0.8850,96,65,1458,63
"Goran Dragic (CHI - PG,SG) ",638,148,258,10,45,0.4020,0.8100,84,65,1528,112
Mitchell Robinson (NYK - C) ,636,641,44,133,63,0.7210,0.4880,0,71,1890,76
Nassir Little (POR - SF) ,633,356,76,54,34,0.4690,0.7460,73,66,1613,62
"Terence Davis II (SAC - SG,SF) ",631,198,105,20,57,0.3990,0.7820,109,70,1328,80
Tyus Jones (MEM - PG) ,628,174,320,4,63,0.4530,0.8520,82,74,1516,49
"Hamidou Diallo (DET - SG,SF) ",625,251,76,21,72,0.4960,0.6460,29,67,1260,86
"Grant Williams (BOS - SF,PF) ",623,297,80,57,37,0.4680,0.8730,107,77,1947,67
Andre Drummond (CHI - C) ,622,664,126,68,78,0.5520,0.5460,1,76,1444,139
"Lonzo Ball (CHI - PG,SG) OUT ",621,250,262,35,81,0.4170,0.7480,141,54,1703,119
Jose Alvarado (NOR - PG) ,620,162,288,14,128,0.4340,0.6890,74,75,1567,87
"Cody Martin (CHA - SG,SF) DTD ",613,320,190,35,89,0.4590,0.7020,69,73,1926,73
"Al Horford (BOS - PF,C) DTD ",609,467,204,75,46,0.4600,0.8280,75,65,1791,63
"Isaac Okoro (CLE - SG,SF) ",608,230,120,22,56,0.4650,0.7640,64,73,1990,60
Jaylen Nowell (MIN - SG) DTD ,606,116,129,12,33,0.4340,0.7920,90,71,1249,43
"Moses Moody (GSW - SF,SG) ",605,138,48,17,29,0.4510,0.8010,102,73,1495,28
"Richaun Holmes (SAC - PF,C) DTD ",604,470,70,60,28,0.6530,0.7990,3,69,1398,86
"Gary Harris (ORL - SG,SF) OUT ",598,148,99,13,55,0.4070,0.8590,101,65,1560,55
Patty Mills (BKN - PG) ,597,159,126,8,37,0.4190,0.8310,145,69,1587,58
"Kyle Anderson (MIN - SF,PF) ",586,374,202,50,79,0.4460,0.6770,46,72,1618,77
"Taurean Prince (MIN - SF,PF) ",586,216,88,27,51,0.4300,0.7740,105,73,1381,67
"Landry Shamet (PHO - PG,SG) DTD ",584,141,109,8,32,0.4020,0.8430,128,72,1459,50
"Gabe Vincent (MIA - PG,SG) DTD ",583,133,187,9,60,0.4100,0.8230,111,72,1514,73
"Terrence Ross (ORL - SG,SF) ",581,192,103,12,36,0.3880,0.8930,81,62,1256,64
"Robert Williams III (BOS - C,PF) DTD ",578,594,110,123,49,0.7310,0.7160,0,56,1669,107
"Nickeil Alexander-Walker (UTH - SG,SF,PG) ",577,160,140,22,45,0.3850,0.7360,93,59,1228,79
"Killian Hayes (DET - PG,SG) DTD ",574,232,322,34,87,0.4000,0.7880,54,71,1842,108
"Georges Niang (PHI - SF,PF) DTD ",567,204,81,9,27,0.4390,0.8870,130,75,1364,58
Steven Adams (MEM - C) DTD ,565,710,235,66,68,0.5620,0.5380,5,76,2009,110
"Santi Aldama (MEM - PF,C) ",562,290,63,37,23,0.4650,0.6430,51,65,1345,56
"Rudy Gay (UTH - SF,PF) ",561,303,68,28,31,0.4180,0.7980,68,66,1290,62
"Patrick Beverley (LAL - PG,SG) ",559,256,260,51,69,0.4150,0.7310,87,62,1527,80
"Derrick Rose (NYK - PG,SG) ",558,149,181,18,39,0.4450,0.8640,60,50,1081,62
"Garrison Mathews (HOU - SG,SF) DTD ",556,139,56,21,47,0.4180,0.8040,117,69,1409,38
Jaxson Hayes (NOR - C) ,555,297,45,52,36,0.6060,0.7830,16,68,1261,56
"Isaiah Hartenstein (NYK - PF,C) ",555,325,157,77,50,0.6080,0.6770,10,72,1333,84
Walker Kessler (UTH - C) ,554,503,43,127,51,0.5660,0.6190,19,69,1654,60
"Mason Plumlee (CHA - PF,C) ",554,600,230,56,59,0.6400,0.5040,0,74,1838,109
"Oshae Brissett (IND - SF,PF) DTD ",553,371,70,33,43,0.4490,0.7040,75,67,1322,55
"KJ Martin Jr. (HOU - SF,PF) ",553,330,82,38,32,0.5080,0.6680,60,67,1257,58
"Jalen McDaniels (CHA - PF,C) ",552,252,88,34,41,0.4790,0.7410,63,66,1423,57
Mo Bamba (ORL - C) ,551,532,70,87,26,0.4830,0.7760,70,67,1352,67
"Jarred Vanderbilt (UTH - PF,C) ",549,658,94,55,94,0.5850,0.6480,1,73,1930,80
"T.J. McConnell (IND - PG,SG) DTD ",536,205,360,20,90,0.5020,0.7680,25,70,1507,111
"Royce O'Neale (BKN - SF,PF) ",533,359,177,30,75,0.4370,0.8110,114,75,2169,75
"Otto Porter Jr. (TOR - SF,PF) ",531,373,93,31,67,0.4650,0.8030,79,65,1447,43
"Donte DiVincenzo (GSW - PG,SG) ",529,246,178,12,70,0.3820,0.8160,98,68,1524,111
"Robert Covington (LAC - PF,C,SF) DTD ",526,356,87,79,90,0.4110,0.7990,114,72,1736,71
"Dario Saric (PHO - PF,C) OUT ",522,178,78,11,33,0.4590,0.8010,54,64,1204,63
"Bryn Forbes (MIN - PG,SG) ",518,94,57,3,22,0.4290,0.8880,112,63,1024,45
"Nicolas Batum (LAC - SF,PF,SG) ",518,323,117,38,67,0.4850,0.7430,102,68,1649,51
Chuma Okeke (ORL - PF) DTD ,513,260,99,35,80,0.3890,0.8350,96,69,1466,49
"Gary Payton II (POR - PG,SG) ",512,312,74,28,99,0.5580,0.6010,36,70,1458,49
"Isaiah Roby (SAS - C,PF) ",508,245,81,38,43,0.4990,0.6880,46,62,1184,62
Damian Jones (LAL - C) ,508,283,73,54,32,0.6560,0.7290,10,64,1172,67
"Maxi Kleber (DAL - PF,C) ",504,398,82,67,35,0.4190,0.7440,95,72,1738,59
"Alex Caruso (CHI - PG,SG) ",500,227,256,25,103,0.4000,0.7850,71,67,1774,95
"Trendon Watford (POR - SF,PF) OUT ",497,245,99,41,33,0.5220,0.7660,16,68,1181,60
"Larry Nance Jr. (NOR - PF,C) ",493,399,135,28,71,0.5130,0.6420,47,67,1603,68
"Draymond Green (GSW - PF,C) ",490,469,436,62,87,0.5130,0.6980,36,64,1850,183
"Kenrich Williams (OKC - SF,PF) ",490,274,150,18,61,0.4750,0.5440,53,69,1464,70
"Delon Wright (WAS - PG,SG) ",477,241,202,18,96,0.4550,0.8470,52,74,1542,61
"P.J. Tucker (PHI - PF,C,SF) ",467,365,138,20,59,0.4500,0.7450,82,73,2067,65
"Dwight Powell (DAL - PF,C) ",458,436,65,31,28,0.6720,0.7790,9,63,1142,49
Malaki Branham (SAS - SG) ,456,78,75,10,28,0.4470,0.8080,34,63,1138,47
"Thaddeus Young (TOR - PF,C,SF) ",456,233,146,22,68,0.4980,0.5030,30,70,1185,78
